nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
10,512,relu,0.004151061856375782,256,82,0.8952981233596802,0.22168953716754913,0.3290218412876129
7,512,relu,0.000538348453014732,64,100,0.9362339377403259,0.13119733333587646,0.2567688822746277
10,512,relu,0.002123638641392512,512,81,0.9193961024284363,0.16783517599105835,0.2886859178543091
9,64,relu,0.0007525668624033472,256,62,0.8610595464706421,0.26475512981414795,0.3790197968482971
8,512,tanh,1.2529091074176058e-05,256,100,0.7585305571556091,0.35177576541900635,0.49966469407081604
10,128,tanh,2.2096775705946823e-05,128,100,0.75955730676651,0.35750898718833923,0.4986012876033783
10,256,tanh,2.3608096653013916e-05,256,100,0.7793247699737549,0.34041866660118103,0.47766607999801636
6,256,relu,1.8792331284750814e-05,64,77,0.8041712045669556,0.31534695625305176,0.44997239112854004
9,512,tanh,3.5032202426111734e-05,512,100,0.8202418684959412,0.30567827820777893,0.43111371994018555
6,512,tanh,7.322398933245428e-05,512,100,0.8412262201309204,0.2867778539657593,0.40516966581344604
7,64,tanh,0.0001736771614215166,128,100,0.8207238912582397,0.29793649911880493,0.43053531646728516
6,128,tanh,0.00020622831113197942,512,100,0.8234829902648926,0.30475860834121704,0.4272094666957855
6,64,tanh,1.9038275355573717e-05,64,100,0.6927717924118042,0.3978797197341919,0.56360924243927
8,256,tanh,0.003192800896569431,512,100,0.9068319797515869,0.19768692553043365,0.31037092208862305
5,64,tanh,0.002079818313667433,512,68,0.8569605946540833,0.27246060967445374,0.38457003235816956
9,256,tanh,0.003942591525776755,512,46,0.7140982151031494,0.3808251917362213,0.543695867061615
9,128,tanh,5.019810679414306e-05,512,100,0.755891740322113,0.3577626049518585,0.5023874640464783
10,128,tanh,0.007842839276843969,128,16,0.13104575872421265,0.7261420488357544,0.9478639960289001
5,512,relu,1.6768134340352844e-05,256,100,0.8247201442718506,0.2919692397117615,0.4257097840309143
6,512,tanh,0.0007592722666403969,512,96,0.926979124546051,0.19477272033691406,0.274771124124527
5,64,tanh,0.008610198913230975,64,46,0.7551214098930359,0.3575139045715332,0.5031795501708984
6,64,tanh,0.00011895700652097506,512,100,0.7489902973175049,0.36313557624816895,0.5094397664070129
5,128,relu,0.000673713671804309,512,61,0.8704915642738342,0.26441168785095215,0.3659287989139557
9,256,tanh,5.834184034717437e-05,64,79,0.8778364062309265,0.2571518123149872,0.3554008901119232
9,512,tanh,0.0002346969458033066,256,100,0.9245006442070007,0.19562549889087677,0.2793954014778137
9,256,relu,0.0085868416417996,512,100,0.8747656345367432,0.2516208291053772,0.35983991622924805
7,256,relu,0.0006625138999842208,256,100,0.9295114874839783,0.16820068657398224,0.2699645161628723
9,128,relu,0.005131107484873246,64,59,0.8678325414657593,0.263764351606369,0.36966630816459656
6,512,relu,4.0029888825866625e-05,256,100,0.8854625225067139,0.24542929232120514,0.34412911534309387
6,256,relu,0.00025409385754423093,64,100,0.9221751093864441,0.1851988285779953,0.2836656868457794
