nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
3,64,relu,0.0001426691811454627,128,100,0.6446099281311035,6.71078634262085,9.579785346984863
6,64,tanh,0.00020347240699569548,256,100,0.4280681014060974,8.762818336486816,12.15277099609375
3,256,tanh,0.0031972922149993595,1024,100,0.32941269874572754,9.884631156921387,13.159239768981934
8,256,relu,0.0005441039972450194,1024,100,0.7715542316436768,5.698446750640869,7.6805925369262695
3,64,tanh,0.00012716266075340598,1024,100,-0.16381263732910156,12.868792533874512,17.335832595825195
6,32,tanh,0.00014714660646830176,256,100,-0.04752659797668457,12.51977825164795,16.446962356567383
3,256,tanh,0.007260120922623631,1024,100,-0.02827310562133789,12.51804256439209,16.295114517211914
5,32,tanh,0.0002812402771321758,512,100,-0.04730939865112305,12.519746780395508,16.44525718688965
3,32,tanh,0.006835847148771212,1024,100,-0.03948080539703369,12.519107818603516,16.383678436279297
6,32,relu,0.00010914598632290546,256,100,0.6359406113624573,6.913376331329346,9.69592571258545
4,64,tanh,0.00017526560257283543,256,100,0.4123270511627197,8.969472885131836,12.31887435913086
2,256,relu,0.0018361573017316338,256,100,0.6759234666824341,6.5247650146484375,9.148016929626465
6,128,relu,0.0013846098985350087,256,100,0.8093715906143188,5.052579879760742,7.016119003295898
6,32,tanh,0.0055803684808020506,128,100,-0.03326070308685303,12.518538475036621,16.334585189819336
4,64,relu,0.003491425248488989,512,100,0.713459849357605,6.183109760284424,8.601930618286133
7,64,tanh,0.009154578889933512,1024,100,-0.031133294105529785,12.518330574035645,16.317760467529297
3,32,relu,0.005909908693990936,512,100,0.6291731595993042,6.723855972290039,9.785628318786621
5,128,relu,0.003210567740576562,256,100,0.7668876647949219,5.625086784362793,7.758643627166748
4,128,relu,0.003969034034815652,1024,100,0.7199578285217285,6.185668468475342,8.503836631774902
3,256,tanh,0.0005428675143928463,512,100,0.4537670612335205,8.570651054382324,11.876599311828613
6,64,tanh,0.00043895788678574707,128,100,-0.046930551528930664,12.516221046447754,16.442283630371094
3,256,tanh,0.0007838975720913441,512,100,0.42915111780166626,8.835602760314941,12.141260147094727
2,256,tanh,0.0010621162145099164,256,100,0.41742515563964844,8.880990982055664,12.265324592590332
7,256,relu,0.00017883810057112165,256,100,0.770724892616272,5.622428894042969,7.694521427154541
4,128,tanh,0.0033586824393415557,256,100,-0.02738785743713379,12.517948150634766,16.288097381591797
2,32,relu,0.0009956069520652665,1024,100,0.5414115786552429,7.475298881530762,10.882149696350098
7,256,relu,0.00983400046091951,512,100,0.6946355700492859,6.241022109985352,8.879988670349121
7,256,relu,0.00417855801919463,512,100,0.800790011882782,5.232956886291504,7.172304630279541
3,64,tanh,0.0010411456533756917,128,100,-0.033762216567993164,12.513121604919434,16.33854866027832
5,32,tanh,0.0012824571834381968,512,100,-0.04629623889923096,12.519641876220703,16.437301635742188
2,128,tanh,0.00998136846229888,1024,100,-0.026013851165771484,12.51779842376709,16.277202606201172
6,32,relu,0.00880561033166241,128,100,0.6542505025863647,6.590284824371338,9.448959350585938
8,64,relu,0.0007332238329379253,128,100,0.7646036744117737,5.661966323852539,7.7965593338012695
6,128,relu,0.00031711049676022584,512,100,0.7405903339385986,5.962274074554443,8.184576034545898
3,64,relu,0.002077139893047633,512,100,0.6140568256378174,7.046250343322754,9.983086585998535
2,128,relu,0.003419148802370556,1024,100,0.6732105016708374,6.545085906982422,9.186227798461914
6,128,tanh,0.0009244632179273823,1024,100,-0.0409928560256958,12.519229888916016,16.39558982849121
5,256,relu,0.00047905473455096874,256,100,0.7878005504608154,5.492925643920898,7.402446269989014
5,64,tanh,0.001071421280779022,128,100,-0.033915162086486816,12.506935119628906,16.339757919311523
3,32,relu,0.0003805607636961237,1024,100,0.5893589854240417,7.350654602050781,10.29755973815918
8,128,tanh,0.00023970009295218187,256,100,0.4628904461860657,8.568682670593262,11.776998519897461
6,256,relu,0.00026933255130751445,512,100,0.7548043131828308,5.856965065002441,7.957187175750732
7,256,tanh,0.0011840812349725614,128,100,-0.043721795082092285,12.510844230651855,16.41706657409668
2,256,relu,0.0013821758094282829,256,100,0.7072104811668396,6.291197299957275,8.695226669311523
5,256,tanh,0.004473244492706472,128,100,-0.03593122959136963,12.518789291381836,16.355680465698242
4,64,relu,0.0016029718743800427,1024,100,0.695766031742096,6.442712306976318,8.86353588104248
8,256,tanh,0.00019855522916098449,256,100,0.5512411594390869,7.688831329345703,10.764891624450684
4,256,tanh,0.0008908102386131177,128,100,0.1582404375076294,11.624680519104004,14.743385314941406
4,32,tanh,0.00033967288035198354,256,100,-0.047319889068603516,12.519695281982422,16.44533920288086
7,256,relu,0.00439868216403324,256,100,0.760068416595459,5.68860387802124,7.871307849884033
3,256,relu,0.0006618427542675287,1024,100,0.6375014185905457,7.008854389190674,9.675119400024414
6,128,tanh,0.0011244866473548388,512,100,0.32901519536972046,9.953410148620605,13.163140296936035
