winSize,hiddenLayers,neurons,function,learning_rate,batchSize,epochs,r2,mae,rmse
30,8,64,sigmoid,0.0003516634161441487,128,epochs,0.8008396625518799,0.313247948884964,0.4364500343799591
20,5,64,sigmoid,0.00839389385148489,64,epochs,0.8549476861953735,0.2538563907146454,0.38726648688316345
10,7,512,relu,0.0008072580312231549,256,epochs,0.910608172416687,0.16617533564567566,0.2956167757511139
30,9,64,sigmoid,0.0016053175530640138,256,epochs,0.805486798286438,0.3114897608757019,0.4313279390335083
30,7,512,sigmoid,3.5223620651057185e-05,128,epochs,0.6427804231643677,0.4224195182323456,0.5845217704772949
10,4,256,tanh,0.000351682507892588,512,epochs,0.8799906969070435,0.2368808090686798,0.3425213694572449
20,6,64,sigmoid,9.903166005737452e-05,64,epochs,0.512485921382904,0.4928368031978607,0.7099719047546387
20,6,128,tanh,0.001191805741607505,256,epochs,0.9217125773429871,0.18533805012702942,0.2845074236392975
20,4,512,sigmoid,0.009667061790081302,128,epochs,-0.026729822158813477,0.7920841574668884,1.030328392982483
20,9,256,tanh,0.00021764429580097382,512,epochs,0.9139657020568848,0.21274520456790924,0.29825204610824585
30,7,256,sigmoid,0.008711277280559957,64,epochs,-0.02025759220123291,0.7846071124076843,0.9878430962562561
30,5,64,relu,0.0035156685983313636,512,epochs,0.8986740708351135,0.2170366793870926,0.3113102614879608
20,6,512,sigmoid,1.2507081272117924e-05,128,epochs,0.4999769330024719,0.5090706944465637,0.7190226912498474
30,5,256,tanh,8.773165536945416e-05,256,epochs,0.8409936428070068,0.279479056596756,0.38997822999954224
30,7,64,tanh,0.00211297058199671,512,epochs,0.8746107220649719,0.2402525544166565,0.3463086187839508
10,10,64,tanh,3.2958625521293175e-05,512,epochs,0.6661462187767029,0.40928345918655396,0.5712923407554626
20,6,128,sigmoid,0.0013449042736587624,128,epochs,0.8635202646255493,0.27210113406181335,0.37564849853515625
10,5,512,relu,0.00012097331267807162,256,epochs,0.8782119154930115,0.24223758280277252,0.34505048394203186
10,4,256,tanh,0.009972065715025806,512,epochs,0.8527612686157227,0.250866174697876,0.37939468026161194
30,4,128,tanh,0.000845309535702934,512,epochs,0.883569061756134,0.23568479716777802,0.3337085247039795
30,9,128,relu,0.0001985431278362144,64,epochs,0.9033907651901245,0.205149307847023,0.3039781451225281
20,8,256,relu,5.646975804749914e-05,256,epochs,0.8554480671882629,0.2816852629184723,0.38659796118736267
30,8,128,relu,0.0009466700122518437,256,epochs,0.9129957556724548,0.18645405769348145,0.2884717881679535
30,10,256,sigmoid,4.2896824007488664e-05,512,epochs,-0.017713308334350586,0.7845904231071472,0.9866106510162354
10,10,512,tanh,0.0002294205934674943,64,epochs,0.9274706244468689,0.14977417886257172,0.2662791907787323
30,6,256,tanh,2.467734624441108e-05,256,epochs,0.8217676281929016,0.3034653961658478,0.41288238763809204
20,7,128,relu,1.951798400143472e-05,256,epochs,0.7735358476638794,0.33352816104888916,0.48389074206352234
20,8,256,relu,0.0019469918133491314,512,epochs,0.9325186610221863,0.1358458697795868,0.2641431987285614
30,7,128,relu,0.0005623831965993879,64,epochs,0.9199947118759155,0.1673382669687271,0.2766256034374237
20,6,64,relu,0.0001962380899296824,256,epochs,0.8316296339035034,0.30060243606567383,0.41723471879959106
10,8,128,tanh,0.00045673971847094393,64,epochs,0.8962135910987854,0.20848925411701202,0.3185300827026367
30,4,128,relu,0.00015195365058834703,256,epochs,0.8562641143798828,0.26386594772338867,0.37077945470809937
30,8,512,sigmoid,1.320580008559322e-05,64,epochs,0.5583219528198242,0.47555747628211975,0.6499590277671814
30,5,256,sigmoid,9.027969751234832e-05,512,epochs,0.7367048263549805,0.3591426908969879,0.501827597618103
30,10,512,sigmoid,0.0004883967687035244,512,epochs,0.8591887950897217,0.25500404834747314,0.3669878840446472
30,10,64,sigmoid,0.00026532039931646,128,epochs,0.7788357734680176,0.3306538462638855,0.4599286913871765
20,5,128,relu,0.0005220484542842876,64,epochs,0.9176186323165894,0.20069316029548645,0.29185158014297485
20,9,128,tanh,0.0003202274181400546,512,epochs,0.8784551024436951,0.25480377674102783,0.35449978709220886
20,9,512,sigmoid,0.00013504370002439633,128,epochs,0.7851162552833557,0.3336094319820404,0.4713563621044159
